product,brand,salary_age,category,salary_type,pet_type,기능,weight,price,product_name,crud_protein,crud_fat,crud_fiber,crud_ash,ca,p,water
4557,134,전연령,육포/져키/소시지,반려견,1,,160g,12800,맘스틱 오리목뼈,58,14,,28,,,6
4558,134,전연령,육포/져키/소시지,반려견,1,,80g,12800,맘스틱 칠면조가슴살,85,8,,9,,,8
4559,134,전연령,육포/져키/소시지,반려견,1,,150g,12800,맘스틱 돼지귀 슬라이스,67,25,,5,,,9
4560,134,전연령,육포/져키/소시지,반려견,1,,200g,12800,맘스틱 오리윙,49,28,,21,,,7
4561,134,전연령,육포/져키/소시지,반려견,1,,130g,12800,맘스틱 콜라겐닭발,38,31,,25,,,6
4562,134,전연령,육포/져키/소시지,반려견,1,,90g,12800,맘스틱 무뼈닭발,57,33,,5,,,7
4563,134,전연령,육포/져키/소시지,"반려견, 반려묘 공용",3,,60g,12800,맘스틱 황태슬라이스,89,5,,6,,,6
4564,174,성견,캔,반려견,1,,100g,2500,블랙호크 그레인 프리 양고기 캔,7,3,0.01,1.9,0.1,0.08,88
4565,174,성견,캔,반려견,1,,100g,2500,블랙호크 그레인 프리 소고기 캔,7,2,0.4,1.6,0.1,0.08,86
4566,174,성견,캔,반려견,1,,100g,2500,블랙호크 그레인 프리 치킨 캔,6,2,0.01,1.5,0.1,0.06,88
4567,278,9개월 이상,덴탈껌,반려견,1,,4개,3500,윔지스 플로우랩 악어 S,1.1,2,13.7,2.4,0.02,0.1,12
4568,278,9개월 이상,덴탈껌,반려견,1,,2개,3500,윔지스 플로우랩 악어 M,1.1,2,13.7,2.4,0.02,0.1,12
4569,278,9개월 이상,덴탈껌,반려견,1,,4개,3500,윔지스 플로우랩 칫솔 S,1.1,2,13.7,2.4,0.02,0.1,12
4570,278,9개월 이상,덴탈껌,반려견,1,,2개,3500,윔지스 플로우랩 칫솔 M,1.1,2,13.7,2.4,0.02,0.1,12
4571,278,9개월 이상,덴탈껌,반려견,1,,1개,4500,윔지스 플로우랩 칫솔 L,1.1,2,13.7,2.4,0.02,0.1,12
4572,278,9개월 이상,덴탈껌,반려견,1,,1개,4000,윔지스 플로우랩 악어 L,1.1,2,13.7,2.4,0.02,0.1,12
4573,278,9개월 이상,덴탈껌,반려견,1,,1개,3500,윔지스 플로우랩 고슴도치 L,1.1,2,13.7,2.4,0.02,0.1,12
4574,34,전연령,육포/져키/소시지,반려묘,2,,30g,2500,내추럴키티 리얼스낵 참치등살,20,0.8,1.2,4.2,,,87.6
4575,34,전연령,육포/져키/소시지,반려묘,2,,30g,2500,내추럴키티 리얼스낵 그릴 닭고기,24.8,0.32,1.2,1.2,,,81.6
4576,34,전연령,육포/져키/소시지,반려묘,2,,30g,2500,내추럴키티 리얼스낵 스팀 고등어,16.8,2.4,1.2,4.2,,,90
4577,34,전연령,육포/져키/소시지,반려묘,2,,30g,2500,내추럴키티 리얼스낵 참치뱃살,21.6,0.4,1.2,4.2,,,84
